First Name,Last Name,EmployeeID,Email,Room,Phone,Address,ClassCode,Subject,PermissionType
LynnEl,Hauer,7606N9I4,lynnel.hauer@santaquesa.edu,B17,801-461-7430,"6421 Linden Street, Santa Quesa, UT 89098",,Registrar,Admin
Chris,Heinswith,5SQ43KH2,chris.heinswith@santaquesa.edu,D6,801-507-1476,"2210 Hemlock Street, Santa Quesa, UT 89098",,Counselor,Admin
Mardene,Hermann,HK80M5P9,mardene.hermann@santaquesa.edu,A22,801-406-3790,"6236 Locust Street, Santa Quesa, UT 89098",,Assistant Principal,Admin
Florzell,Hodge,34AIY4Q3,florzell.hodge@santaquesa.edu,B8,801-637-1047,"1898 Tiger Lily Street, Santa Quesa, UT 89098",627876,Agricultural Science,Teacher
Nova,Jacob,JWRUB59Z,nova.jacob@santaquesa.edu,E17,801-718-5743,"5352 Cactus Street, Santa Quesa, UT 89098",270044,Physics,Teacher
Gatobon,Knowles,8AI2BJLO,gatobon.knowles@santaquesa.edu,A1,801-375-5530,"6100 Oak Street, Santa Quesa, UT 89098",,Custodian,Staff
Hiroko,Korohiko,6FJ4TC3R,hiroko.korohiko@santaquesa.edu,B6,801-447-9138,"5459 Sassafras Street, Santa Quesa, UT 89098",483873,Entrepreneurship,Teacher
Contrevey,Lance,HWUF6DXE,contrevey.lance@santaquesa.edu,C3,801-395-4962,"8872 Butternut Street, Santa Quesa, UT 89098",613772,Government,Teacher
DeeZell,Libby,QHRGLB22,deezell.libby@santaquesa.edu,D11,801-657-8021,"6472 Chestnut Street, Santa Quesa, UT 89098",,Finance Secretary,Staff
Monterian,Madslesen,3JEGB0O7,monterian.madslesen@santaquesa.edu,B13,801-972-2404,"515 Locust Street, Santa Quesa, UT 89098",454386,Culinary Arts,Teacher
Mads,Madslsen,09WA2P12,mads.madslsen@santaquesa.edu,E20,801-405-9846,"8193 Magnolia Street, Santa Quesa, UT 89098",216991,History,Teacher
Norvil,Mckelvey,IRFDMSZU,norvil.mckelvey@santaquesa.edu,B19,801-594-4264,"1373 Butternut Street, Santa Quesa, UT 89098",131453,Biology,Teacher
Irwin,McKirwein,0KKEOC9V,irwin.mckirwein@santaquesa.edu,C3,801-621-7988,"8147 Dogwood Street, Santa Quesa, UT 89098",948365,Psychology,Teacher
Barina,McQueen,S4TRRY6G,barina.mcqueen@santaquesa.edu,A21,801-420-6690,"3596 Cactus Street, Santa Quesa, UT 89098",,Counselor,Admin
Iddawg,Moody,F99LHEMJ,iddawg.moody@santaquesa.edu,E29,801-168-3224,"3201 Lilac Street, Santa Quesa, UT 89098",464821,Cybersecurity,Teacher
LaMaradean,Neff,I0AZF17S,lamaradean.neff@santaquesa.edu,A24,801-744-9544,"2200 Lilac Street, Santa Quesa, UT 89098",919872,Math,Teacher
LaChere,Neff,Z5ALTIH2,lachere.neff@santaquesa.edu,B15,801-465-1905,"8928 Camellia Street, Santa Quesa, UT 89098",498747,Math,Teacher
Jenemy,Nenner,9F5EIBVQ,jenemy.nenner@santaquesa.edu,F1,801-663-1954,"8974 Dogwood Street, Santa Quesa, UT 89098",705008,English,Teacher
Tefra,Ng,6LT478PB,tefra.ng@santaquesa.edu,E21,801-817-4737,"6059 Beech Street, Santa Quesa, UT 89098",470174,Drawing,Teacher
Delwin,Parry,3YO6RQC2,delwin.parry@santaquesa.edu,D1,801-192-3196,"6502 Bamboo Street, Santa Quesa, UT 89098",570266,Journalism,Teacher
Shansey,Peck,6I9IU3BS,shansey.peck@santaquesa.edu,D17,801-529-1203,"1022 Camellia Street, Santa Quesa, UT 89098",453500,Choir,Teacher
Murk,Ruffin,TEZMK3JL,murk.ruffin@santaquesa.edu,F19,801-725-6560,"8819 Cedar Street, Santa Quesa, UT 89098",665858,German,Teacher
Dalayna,Sanderson,BVBCR4TB,dalayna.sanderson@santaquesa.edu,A14,801-651-7453,"8143 Sassafras Street, Santa Quesa, UT 89098",408132,P.E.,Teacher
Berna,Schubert,THU8VWBR,berna.schubert@santaquesa.edu,F25,801-336-9195,"1973 Willow Street, Santa Quesa, UT 89098",344067,Photography,Teacher
LaMonte,Shannon,J9LL3HYN,lamonte.shannon@santaquesa.edu,A28,801-969-9062,"8082 Hemlock Street, Santa Quesa, UT 89098",460225,Chemistry,Teacher
Pontiac,Spearman,T86Z3UI1,pontiac.spearman@santaquesa.edu,A28,801-595-3840,"8143 Birch Street, Santa Quesa, UT 89098",,Assistant Principal,Admin
Erma,Stain,Q9I0OHLS,erma.stain@santaquesa.edu,A16,801-891-7331,"9940 Bamboo Street, Santa Quesa, UT 89098",182122,English,Teacher
Mertyl,Stipe,F6QLPBMZ,mertyl.stipe@santaquesa.edu,E26,801-925-7455,"1739 Main Street, Santa Quesa, UT 89098",106105,Creative Writing,Teacher
Tiani,Templeton,0USFOB6R,tiani.templeton@santaquesa.edu,E6,801-956-8661,"9367 Lilac Street, Santa Quesa, UT 89098",,Counselor,Admin
Tawn,Watt,OO30J5KP,tawn.watt@santaquesa.edu,F6,801-439-9181,"6297 Locust Street, Santa Quesa, UT 89098",836438,A.P. English,Teacher
Ruthal,White,07MI6HWJ,ruthal.white@santaquesa.edu,F14,801-823-4507,"3690 Pine Street, Santa Quesa, UT 89098",279278,French,Teacher
Jennabee,Xiong,P1H01JKI,jennabee.xiong@santaquesa.edu,D21,801-226-3209,"5747 Linden Street, Santa Quesa, UT 89098",471611,Welding,Teacher
