First Name,Last Name,StudentID,Email,Phone,Address,ClassesAndGrades,Class1,Class2,Class3,Class4,Grade1,Grade2,Grade3,Grade4
Shiloah,Hoke,HVIAG3H6,shiloah.hoke@santaquesa.edu,801-626-7068,"9081 Maple Street, Santa Quesa, UT 89098","{'106105': 'A', '483873': 'A', '665858': 'C', '948365': 'B'}",106105,483873,665858,948365,A,A,C,B
Leadelle,Mckoy,XRB5A8DF,leadelle.mckoy@santaquesa.edu,801-768-8039,"3676 Mulberry Street, Santa Quesa, UT 89098","{'921007': 'C', '627876': 'D', '408132': 'F', '454386': 'D'}",921007,627876,408132,454386,C,D,F,D
Jeffren,Getz,9KU46REG,jeffren.getz@santaquesa.edu,801-589-6609,"2517 Birch Street, Santa Quesa, UT 89098","{'990961': 'C', '131453': 'F', '379942': 'F', '408132': 'C'}",990961,131453,379942,408132,C,F,F,C
Marolyn,Bogan,5EIQGXFS,marolyn.bogan@santaquesa.edu,801-299-5609,"7083 Juniper Street, Santa Quesa, UT 89098","{'379942': 'B', '665858': 'D', '990961': 'F', '453500': 'B'}",379942,665858,990961,453500,B,D,F,B
Delton,Abarca,11NL4JRD,delton.abarca@santaquesa.edu,801-971-7223,"8759 Sunflower Street, Santa Quesa, UT 89098","{'460225': 'B', '470174': 'C', '570266': 'F', '453500': 'A'}",460225,470174,570266,453500,B,C,F,A
Keston,Bull,NB4LEQ60,keston.bull@santaquesa.edu,801-290-3271,"4787 Cypress Street, Santa Quesa, UT 89098","{'216991': 'F', '453500': 'D', '990961': 'C', '948365': 'B'}",216991,453500,990961,948365,F,D,C,B
Franece,Brannon,SDMW6OX0,franece.brannon@santaquesa.edu,801-297-7365,"4003 Linden Street, Santa Quesa, UT 89098","{'558407': 'B', '379942': 'F', '665858': 'B', '948365': 'B'}",558407,379942,665858,948365,B,F,B,B
Anadyna,Bone,QFLS1PXX,anadyna.bone@santaquesa.edu,801-645-7127,"9555 Lilac Street, Santa Quesa, UT 89098","{'921007': 'F', '279278': 'C', '836438': 'C', '460225': 'C'}",921007,279278,836438,460225,F,C,C,C
Doran,Casto,DGAL2N7B,doran.casto@santaquesa.edu,801-559-6667,"8221 Locust Street, Santa Quesa, UT 89098","{'498747': 'A', '836438': 'B', '470174': 'D', '460225': 'B'}",498747,836438,470174,460225,A,B,D,B
Belvin,Winkler,G4S3Z5ZI,belvin.winkler@santaquesa.edu,801-381-8188,"1752 Butternut Street, Santa Quesa, UT 89098","{'270044': 'C', '558407': 'A', '524163': 'D', '919872': 'D'}",270044,558407,524163,919872,C,A,D,D
Viane,Murdock,R5EC4R0P,viane.murdock@santaquesa.edu,801-549-1279,"1276 Chestnut Street, Santa Quesa, UT 89098","{'665858': 'B', '270044': 'B', '464821': 'D', '685089': 'F'}",665858,270044,464821,685089,B,B,D,F
LaNette,Youngblood,MRNJFLN9,lanette.youngblood@santaquesa.edu,801-593-9305,"8118 Cypress Street, Santa Quesa, UT 89098","{'279278': 'F', '524163': 'F', '921007': 'F', '613772': 'D'}",279278,524163,921007,613772,F,F,F,D
Benslee,Rasmussen,NMFL3SZA,benslee.rasmussen@santaquesa.edu,801-171-4136,"3617 Oak Street, Santa Quesa, UT 89098","{'454386': 'C', '524163': 'C', '182122': 'D', '498747': 'F'}",454386,524163,182122,498747,C,C,D,F
D'Monte,Sprouse,MBWQSFTF,d'monte.sprouse@santaquesa.edu,801-503-2520,"8636 Cherry Street, Santa Quesa, UT 89098","{'483873': 'F', '990961': 'D', '131453': 'A', '409004': 'C'}",483873,990961,131453,409004,F,D,A,C
Mint,Koester,HP6CSEGC,mint.koester@santaquesa.edu,801-209-3665,"1934 Main Street, Santa Quesa, UT 89098","{'524163': 'D', '379942': 'B', '665858': 'B', '182122': 'C'}",524163,379942,665858,182122,D,B,B,C
Murwin,Burleson,SMP55HY1,murwin.burleson@santaquesa.edu,801-959-8669,"4363 Cedar Street, Santa Quesa, UT 89098","{'318086': 'C', '558407': 'F', '464821': 'B', '705008': 'A'}",318086,558407,464821,705008,C,F,B,A
Shireen,Loveless,AEX84DGX,shireen.loveless@santaquesa.edu,801-715-6321,"3179 Catalpa Street, Santa Quesa, UT 89098","{'408132': 'B', '836438': 'C', '379942': 'D', '990961': 'B'}",408132,836438,379942,990961,B,C,D,B
Teah,Graber,VRU7JL51,teah.graber@santaquesa.edu,801-378-5483,"1029 Juniper Street, Santa Quesa, UT 89098","{'948365': 'A', '270044': 'D', '731355': 'D', '318086': 'D'}",948365,270044,731355,318086,A,D,D,D
